City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
288,victoria,90,BN,1572980340,88,5.28,115.24,77.0,3.36
289,nokha,0,IN,1572980940,26,27.56,73.47,77.36,6.31
290,hovd,40,NO,1572980760,79,63.83,10.7,28.99,6.93
291,bandarbeyla,0,SO,1572980940,81,9.49,50.81,80.74,9.8
292,camopi,99,GF,1572980385,29,3.17,-52.33,97.43,6.33
293,uttarkashi,0,IN,1572980940,68,30.73,78.44,50.56,3.98
294,guaymas,40,MX,1572980940,58,27.92,-110.9,91.0,11.41
295,grootfontein,20,NA,1572980938,30,-19.56,18.1,80.6,6.93
296,kenai,90,US,1572980941,74,60.55,-151.26,37.0,9.17
297,christchurch,100,NZ,1572980941,93,-43.53,172.64,55.99,10.29
298,sovetskaya,84,RU,1572980941,6,44.78,41.17,46.0,5.99
299,kupang,55,ID,1572980941,72,-10.16,123.6,81.16,7.2
300,esperance,75,AU,1572980382,81,-33.86,121.89,53.6,6.93
301,lavrentiya,5,RU,1572980377,81,65.58,-170.99,23.4,9.13
302,manbij,5,SY,1572980942,57,36.53,37.96,48.2,2.24
303,omboue,66,GA,1572980942,91,-1.57,9.26,75.31,4.23
304,lubango,67,AO,1572980942,87,-14.92,13.49,61.79,4.99
305,senanga,51,ZM,1572980942,33,-16.1,23.3,80.06,2.71
306,yumen,92,CN,1572980367,38,40.29,97.04,42.35,6.08
307,lamin,0,GM,1572980943,74,13.35,-16.43,86.0,9.17
308,kita,20,JP,1572980943,62,35.76,139.74,55.99,10.29
309,mitsamiouli,20,KM,1572980348,69,-11.38,43.28,82.4,16.13
310,batagay-alyta,100,RU,1572980352,94,67.8,130.41,-1.47,4.85
311,georgetown,20,GY,1572980943,79,6.8,-58.16,84.2,13.87
312,waingapu,2,ID,1572980387,69,-9.65,120.26,82.2,4.18
313,traralgon,83,AU,1572980944,93,-38.19,146.54,57.0,3.06
314,dryden,90,CA,1572980758,61,49.79,-92.84,17.6,16.11
315,panama city,20,US,1572980708,83,30.16,-85.65,80.6,6.93
316,rameswaram,31,IN,1572980944,72,9.28,79.3,82.51,7.85
317,tripoli,0,GR,1572980944,82,37.51,22.37,66.99,2.24
318,suntar,57,RU,1572980944,93,62.16,117.65,-4.24,4.41
319,abu zabad,0,SD,1572980386,19,12.35,29.25,83.89,9.44
320,lagoa,0,PT,1572980945,63,37.14,-8.45,64.4,13.87
321,arman,99,RU,1572980945,67,59.7,150.17,31.05,21.83
322,koprivnice,90,CZ,1572980945,93,49.6,18.14,48.99,2.24
323,ulladulla,0,AU,1572980945,87,-35.36,150.48,48.2,9.17
324,vitim,73,RU,1572980945,99,59.44,112.57,-5.75,1.9
325,toba,20,JP,1572980946,76,34.47,136.83,51.8,12.75
326,nanortalik,100,GL,1572980354,98,60.14,-45.24,34.5,34.38
327,katangli,100,RU,1572980946,95,51.71,143.23,31.53,6.06
328,pontal do parana,75,BR,1572980946,69,-25.67,-48.51,73.99,18.34
329,vilhena,64,BR,1572980689,44,-12.74,-60.15,93.34,0.31
330,poughkeepsie,20,US,1572980946,67,41.71,-73.93,57.99,7.78
331,palu,28,ID,1572980946,97,-0.9,119.87,65.7,1.68
332,naze,75,NG,1572980947,94,5.43,7.07,77.0,4.34
333,vestmannaeyjar,40,IS,1572980947,73,63.44,-20.27,39.2,13.87
334,kandrian,100,PG,1572980947,92,-6.21,149.55,70.75,3.38
335,kushima,0,JP,1572980947,87,31.5,131.29,55.0,3.0
336,tafresh,0,IR,1572980870,58,34.69,50.01,47.14,4.29
337,baykit,100,RU,1572980948,96,61.68,96.39,6.42,2.93
338,cabedelo,20,BR,1572980948,62,-6.97,-34.84,84.2,11.41
